LoanRange, LoanAmount , BusinessName ,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
"j <$10,000"," $5,000 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,488190,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,4/14/20,Glacier Bank,MT - 00
"j <$10,000"," $5,000 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,4/30/20,Bank of the Rockies,MT - 00
"j <$10,000"," $5,000 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,812112,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/28/20,Bank of the Rockies,MT - 00
"j <$10,000"," $4,900 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,323111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,6/26/20,Stockman Bank of Montana,MT - 00
"j <$10,000"," $4,846 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,112111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,6/30/20,Glacier Bank,MT - 00
"j <$10,000"," $4,800 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,811111,Corporation,Unanswered,Male Owned,Unanswered,,1,5/6/20,Fergus FCU,MT - 00
"j <$10,000"," $4,660 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,112111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/21/20,Glacier Bank,MT - 00
"j <$10,000"," $4,500 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,113310,Sole Proprietorship,White,Male Owned,Unanswered,,1,4/28/20,Stockman Bank of Montana,MT - 00
"j <$10,000"," $4,298 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,453998,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/28/20,Glacier Bank,MT - 00
"j <$10,000"," $4,200 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,332313,Sole Proprietorship,White,Male Owned,Non-Veteran,,1,4/30/20,Stockman Bank of Montana,MT - 00
"j <$10,000"," $4,185 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,238990,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1,4/28/20,Glacier Bank,MT - 00
"j <$10,000"," $4,116 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,561720,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,6/29/20,Glacier Bank,MT - 00
"j <$10,000"," $4,100 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,112111,Corporation,Unanswered,Unanswered,Unanswered,,1,5/4/20,Stockman Bank of Montana,MT - 00
"j <$10,000"," $4,000 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,112111,Partnership,White,Female Owned,Non-Veteran,,1,4/30/20,Opportunity Bank of Montana,MT - 00
"j <$10,000"," $4,000 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,112111,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,2,4/28/20,Opportunity Bank of Montana,MT - 00
"j <$10,000"," $3,750 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,441120,Partnership,Unanswered,Male Owned,Veteran,,2,4/28/20,Glacier Bank,MT - 00
"j <$10,000"," $3,720 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,236115,Independent Contractors,Unanswered,Unanswered,Unanswered,,1,5/7/20,Glacier Bank,MT - 00
"j <$10,000"," $3,451 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,484220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,5/13/20,"Wells Fargo Bank, National Association",MT - 00
"j <$10,000"," $3,223 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,811198,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/28/20,Glacier Bank,MT - 00
"j <$10,000"," $3,178 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,541519,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0,4/30/20,Celtic Bank Corporation,MT - 00
"j <$10,000"," $3,061 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,6/11/20,Citizens Bank & Trust Company,MT - 00
"j <$10,000"," $3,055 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,238210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/11/20,Glacier Bank,MT - 00
"j <$10,000"," $3,000 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,238130,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,1,4/27/20,Fergus FCU,MT - 00
"j <$10,000"," $2,978 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,236115,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5/8/20,Glacier Bank,MT - 00
"j <$10,000"," $2,908 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,621330,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,0,4/30/20,"Wells Fargo Bank, National Association",MT - 00
"j <$10,000"," $2,700 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,811192,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,4/30/20,Bank of the Rockies,MT - 00
"j <$10,000"," $2,698 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,722513,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,6/3/20,Glacier Bank,MT - 00
"j <$10,000"," $2,600 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,621399,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,1,4/30/20,Fergus FCU,MT - 00
"j <$10,000"," $2,600 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,112111,Sole Proprietorship,White,Male Owned,Unanswered,,1,4/28/20,Opportunity Bank of Montana,MT - 00
"j <$10,000"," $2,400 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,484121,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/29/20,Bank of the Rockies,MT - 00
"j <$10,000"," $2,076 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/3/20,Celtic Bank Corporation,MT - 00
"j <$10,000"," $1,950 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,454390,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/27/20,Glacier Bank,MT - 00
"j <$10,000"," $1,800 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,238990,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/28/20,Stockman Bank of Montana,MT - 00
"j <$10,000"," $1,596 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,722513,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,6/3/20,Glacier Bank,MT - 00
"j <$10,000"," $1,300 ", undisclosed , undisclosed ,LEWISTOWN,MT,59457,812990,Sole Proprietorship,Unanswered,Female Owned,Unanswered,,1,4/28/20,Fergus FCU,MT - 00
"j <$10,000", $800 , undisclosed , undisclosed ,LEWISTOWN,MT,59457,236118,Sole Proprietorship,Unanswered,Male Owned,Unanswered,,1,4/30/20,Fergus FCU,MT - 00
"j <$10,000"," $9,600 ", undisclosed , undisclosed ,LIBBY,MT,59923,511110,Sole Proprietorship,White,Female Owned,Unanswered,,2,4/6/20,"First Montana Bank, Inc.",MT - 00
"j <$10,000"," $9,400 ", undisclosed , undisclosed ,LIBBY,MT,59923,238910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,4/15/20,Glacier Bank,MT - 00
"j <$10,000"," $9,200 ", undisclosed , undisclosed ,LIBBY,MT,59923,453310,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,6/9/20,Glacier Bank,MT - 00
"j <$10,000"," $8,800 ", undisclosed , undisclosed ,LIBBY,MT,59923,541990,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/29/20,Glacier Bank,MT - 00
"j <$10,000"," $8,700 ", undisclosed , undisclosed ,LIBBY,MT,59923,721110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,5,4/29/20,Glacier Bank,MT - 00
"j <$10,000"," $8,241 ", undisclosed , undisclosed ,LIBBY,MT,59923,722511,Limited Liability Partnership,Unanswered,Female Owned,Unanswered,,2,4/15/20,Lincoln County CU,MT - 00
"j <$10,000"," $8,000 ", undisclosed , undisclosed ,LIBBY,MT,59923,713990,Sole Proprietorship,White,Male Owned,Unanswered,,1,4/15/20,Lincoln County CU,MT - 00
"j <$10,000"," $8,000 ", undisclosed , undisclosed ,LIBBY,MT,59923,812990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,4/7/20,Glacier Bank,MT - 00
"j <$10,000"," $7,922 ", undisclosed , undisclosed ,LIBBY,MT,59923,484121,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5/3/20,Cross River Bank,MT - 00
"j <$10,000"," $7,861 ", undisclosed , undisclosed ,LIBBY,MT,59923,336411,Corporation,Unanswered,Unanswered,Unanswered,,2,5/2/20,CIBC Bank USA,MT - 00
"j <$10,000"," $7,500 ", undisclosed , undisclosed ,LIBBY,MT,59923,541219,Sole Proprietorship,White,Female Owned,Unanswered,,1,4/27/20,First State Bank of Forsyth,MT - 00
"j <$10,000"," $7,434 ", undisclosed , undisclosed ,LIBBY,MT,59923,448310,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,1,4/27/20,Lincoln County CU,MT - 00
"j <$10,000"," $7,250 ", undisclosed , undisclosed ,LIBBY,MT,59923,711410,Subchapter S Corporation,White,Male Owned,Unanswered,,1,4/8/20,First State Bank of Forsyth,MT - 00
"j <$10,000"," $7,200 ", undisclosed , undisclosed ,LIBBY,MT,59923,445110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,4/29/20,TrailWest Bank,MT - 00
"j <$10,000"," $7,100 ", undisclosed , undisclosed ,LIBBY,MT,59923,238320,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,5,5/15/20,Glacier Bank,MT - 00
"j <$10,000"," $6,900 ", undisclosed , undisclosed ,LIBBY,MT,59923,713990,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/30/20,Three Rivers Bank of Montana,MT - 00
"j <$10,000"," $6,500 ", undisclosed , undisclosed ,LIBBY,MT,59923,561740,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,5/12/20,Glacier Bank,MT - 00
"j <$10,000"," $6,400 ", undisclosed , undisclosed ,LIBBY,MT,59923,488490,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,4/27/20,"First Montana Bank, Inc.",MT - 00
"j <$10,000"," $5,900 ", undisclosed , undisclosed ,LIBBY,MT,59923,115310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,4/27/20,"First Montana Bank, Inc.",MT - 00
"j <$10,000"," $5,500 ", undisclosed , undisclosed ,LIBBY,MT,59923,561790,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,4/27/20,"First Montana Bank, Inc.",MT - 00
"j <$10,000"," $5,200 ", undisclosed , undisclosed ,LIBBY,MT,59923,811192,Corporation,Unanswered,Unanswered,Unanswered,,0,4/30/20,Glacier Bank,MT - 00
"j <$10,000"," $5,197 ", undisclosed , undisclosed ,LIBBY,MT,59923,445210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,5/20/20,Intuit Financing Inc.,MT - 00
"j <$10,000"," $5,000 ", undisclosed , undisclosed ,LIBBY,MT,59923,236115,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,6/30/20,Montana Community Development Corp.,MT - 00
"j <$10,000"," $4,800 ", undisclosed , undisclosed ,LIBBY,MT,59923,512110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/15/20,Glacier Bank,MT - 00
"j <$10,000"," $4,700 ", undisclosed , undisclosed ,LIBBY,MT,59923,524126,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,0,4/14/20,Glacier Bank,MT - 00
"j <$10,000"," $4,690 ", undisclosed , undisclosed ,LIBBY,MT,59923,624410,Sole Proprietorship,White,Female Owned,Unanswered,,1,4/15/20,Lincoln County CU,MT - 00
"j <$10,000"," $4,600 ", undisclosed , undisclosed ,LIBBY,MT,59923,236118,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,2,5/4/20,Glacier Bank,MT - 00
"j <$10,000"," $4,500 ", undisclosed , undisclosed ,LIBBY,MT,59923,114210,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1,6/26/20,Glacier Bank,MT - 00
"j <$10,000"," $3,125 ", undisclosed , undisclosed ,LIBBY,MT,59923,812199,Sole Proprietorship,Unanswered,Female Owned,Unanswered,,1,4/30/20,Lincoln County CU,MT - 00
"j <$10,000"," $1,825 ", undisclosed , undisclosed ,LIBBY,MT,59923,541840,Limited Liability Partnership,White,Male Owned,Unanswered,,2,5/20/20,Lincoln County CU,MT - 00
"j <$10,000"," $1,800 ", undisclosed , undisclosed ,LIBBY,MT,59923,561730,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5/4/20,"First Montana Bank, Inc.",MT - 00
"j <$10,000"," $5,660 ", undisclosed , undisclosed ,LIMA,MT,59739,236115,Sole Proprietorship,Unanswered,Male Owned,Unanswered,,1,4/27/20,Stockman Bank of Montana,MT - 00
"j <$10,000"," $5,500 ", undisclosed , undisclosed ,LIMA,MT,59739,112130,Independent Contractors,White,Male Owned,Unanswered,,1,6/14/20,Stockman Bank of Montana,MT - 00
"j <$10,000"," $1,200 ", undisclosed , undisclosed ,LIMA,MT,59739,721211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/30/20,The Bank of Commerce,MT - 00
"j <$10,000"," $7,331 ", undisclosed , undisclosed ,LINCOLN,MT,59639,113310,Corporation,White,Female Owned,Unanswered,,2,4/27/20,Citizens Alliance Bank,MT - 00
"j <$10,000"," $7,300 ", undisclosed , undisclosed ,LINCOLN,MT,59639,721110,Limited Liability Partnership,White,Male Owned,Unanswered,,3,4/7/20,Citizens Alliance Bank,MT - 00
"j <$10,000"," $4,280 ", undisclosed , undisclosed ,LINCOLN,MT,59639,531210,Limited  Liability Company(LLC),White,Female Owned,Unanswered,,1,4/27/20,Citizens Alliance Bank,MT - 00
"j <$10,000"," $3,400 ", undisclosed , undisclosed ,LINCOLN,MT,59639,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,4,4/5/20,Citizens Alliance Bank,MT - 00
"j <$10,000"," $2,950 ", undisclosed , undisclosed ,LINCOLN,MT,59639,541213,Sole Proprietorship,White,Male Owned,Unanswered,,2,4/28/20,Citizens Alliance Bank,MT - 00
"j <$10,000"," $2,224 ", undisclosed , undisclosed ,LINCOLN,MT,59639,424930,Sole Proprietorship,Unanswered,Female Owned,Unanswered,,1,5/5/20,Citizens Alliance Bank,MT - 00
"j <$10,000", $780 , undisclosed , undisclosed ,LINCOLN,MT,59639,811111,Sole Proprietorship,Unanswered,Male Owned,Unanswered,,1,4/30/20,Citizens Alliance Bank,MT - 00
"j <$10,000"," $9,886 ", undisclosed , undisclosed ,LINDSAY,MT,59339,111140,Corporation,Unanswered,Unanswered,Unanswered,,2,5/5/20,"U.S. Bank, National Association",MT - 00
"j <$10,000"," $9,203 ", undisclosed , undisclosed ,LINDSAY,MT,59339,111191,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5/11/20,Grasslands FCU,MT - 00
"j <$10,000"," $5,036 ", undisclosed , undisclosed ,LINDSAY,MT,59339,112111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,4/27/20,Grasslands FCU,MT - 00
"j <$10,000"," $3,330 ", undisclosed , undisclosed ,LINDSAY,MT,59339,112111,Self-Employed Individuals,Unanswered,Male Owned,Unanswered,,1,4/28/20,Stockman Bank of Montana,MT - 00
"j <$10,000"," $9,948 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,531312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/30/20,Celtic Bank Corporation,MT - 00
"j <$10,000"," $9,720 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,624190,Corporation,Unanswered,Unanswered,Unanswered,,1,4/28/20,First Interstate Bank,MT - 00
"j <$10,000"," $9,623 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,442299,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,4/13/20,First Interstate Bank,MT - 00
"j <$10,000"," $9,547 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,713990,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,6/26/20,First Interstate Bank,MT - 00
"j <$10,000"," $9,375 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,531210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,5/19/20,"Wells Fargo Bank, National Association",MT - 00
"j <$10,000"," $9,300 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,236118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,5/1/20,First Interstate Bank,MT - 00
"j <$10,000"," $9,273 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,4/15/20,First Interstate Bank,MT - 00
"j <$10,000"," $9,178 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,541990,Corporation,Unanswered,Unanswered,Unanswered,,0,4/30/20,"Wells Fargo Bank, National Association",MT - 00
"j <$10,000"," $9,127 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,721110,Corporation,Asian,Male Owned,Non-Veteran,,3,4/29/20,Sky FCU,MT - 00
"j <$10,000"," $9,050 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,812910,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0,4/30/20,First Interstate Bank,MT - 00
"j <$10,000"," $8,800 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,323111,Sole Proprietorship,Unanswered,Female Owned,Unanswered,,1,4/5/20,Opportunity Bank of Montana,MT - 00
"j <$10,000"," $8,500 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,424330,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,3,4/4/20,Opportunity Bank of Montana,MT - 00
"j <$10,000"," $8,400 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,236220,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,13,4/27/20,American Bank,MT - 00
"j <$10,000"," $8,385 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,238350,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,4/28/20,First Interstate Bank,MT - 00
"j <$10,000"," $8,333 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,531311,Corporation,Unanswered,Unanswered,Unanswered,,1,4/15/20,First Interstate Bank,MT - 00
"j <$10,000"," $8,300 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,561730,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,4/27/20,American Bank,MT - 00
"j <$10,000"," $8,218 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,445110,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,3,4/28/20,First Interstate Bank,MT - 00
"j <$10,000"," $8,000 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,531390,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,1,4/10/20,Opportunity Bank of Montana,MT - 00
"j <$10,000"," $8,000 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,541990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3,4/13/20,First Interstate Bank,MT - 00
"j <$10,000"," $7,975 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,561720,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,4/30/20,Cross River Bank,MT - 00
"j <$10,000"," $7,922 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,111419,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,5/2/20,"Wells Fargo Bank, National Association",MT - 00
"j <$10,000"," $7,805 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,113310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,4/15/20,First Interstate Bank,MT - 00
"j <$10,000"," $7,767 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,4/30/20,First Interstate Bank,MT - 00
"j <$10,000"," $7,750 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,541410,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,1,5/6/20,Mesquite CU,MT - 00
"j <$10,000"," $7,600 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,453310,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,2,4/28/20,Bank of the Rockies,MT - 00
"j <$10,000"," $7,500 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,722410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,4/12/20,First Interstate Bank,MT - 00
"j <$10,000"," $7,500 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,811411,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,4/6/20,Bank of the Rockies,MT - 00
"j <$10,000"," $7,473 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,711219,Independent Contractors,White,Male Owned,Unanswered,,1,5/12/20,Sky FCU,MT - 00
"j <$10,000"," $7,252 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,561720,Independent Contractors,Unanswered,Unanswered,Unanswered,,1,5/8/20,"Kabbage, Inc.",MT - 00
"j <$10,000"," $7,100 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,238990,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/15/20,Glacier Bank,MT - 00
"j <$10,000"," $7,055 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,339113,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,4/30/20,Cross River Bank,MT - 00
"j <$10,000"," $7,042 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,315280,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,4/29/20,First Interstate Bank,MT - 00
"j <$10,000"," $6,968 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,448210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,4/16/20,First Interstate Bank,MT - 00
"j <$10,000"," $6,855 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,541990,Independent Contractors,Unanswered,Unanswered,Unanswered,,1,4/29/20,First Interstate Bank,MT - 00
"j <$10,000"," $6,695 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,624410,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/29/20,Sky FCU,MT - 00
"j <$10,000"," $6,665 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,812910,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,1,4/29/20,First Interstate Bank,MT - 00
"j <$10,000"," $6,600 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,711510,Corporation,Unanswered,Unanswered,Unanswered,,1,4/12/20,First Interstate Bank,MT - 00
"j <$10,000"," $6,585 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,112920,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,4,4/29/20,Sky FCU,MT - 00
"j <$10,000"," $6,500 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,337122,Subchapter S Corporation,Hispanic,Male Owned,Non-Veteran,,1,4/28/20,Opportunity Bank of Montana,MT - 00
"j <$10,000"," $6,425 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,713990,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/4/20,First Interstate Bank,MT - 00
"j <$10,000"," $6,250 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,541110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,4/15/20,First Interstate Bank,MT - 00
"j <$10,000"," $6,200 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,541219,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,4/13/20,First Interstate Bank,MT - 00
"j <$10,000"," $6,200 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,713990,Corporation,White,Male Owned,Unanswered,,1,4/4/20,American Bank,MT - 00
"j <$10,000"," $6,200 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,561790,Corporation,White,Male Owned,Non-Veteran,,2,4/6/20,Bank of the Rockies,MT - 00
"j <$10,000"," $6,125 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,423830,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5/1/20,First Interstate Bank,MT - 00
"j <$10,000"," $6,002 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,541620,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/28/20,Glacier Bank,MT - 00
"j <$10,000"," $6,000 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,621210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,4/12/20,First Interstate Bank,MT - 00
"j <$10,000"," $6,000 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,561510,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,4/28/20,Bank of the Rockies,MT - 00
"j <$10,000"," $5,787 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5/27/20,First Interstate Bank,MT - 00
"j <$10,000"," $5,538 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,114111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/29/20,First Interstate Bank,MT - 00
"j <$10,000"," $5,500 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,445110,Partnership,Unanswered,Unanswered,Unanswered,,5,4/28/20,First Interstate Bank,MT - 00
"j <$10,000"," $5,451 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,423620,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,2,4/16/20,First Interstate Bank,MT - 00
"j <$10,000"," $5,400 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,812990,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,1,4/27/20,Stockman Bank of Montana,MT - 00
"j <$10,000"," $5,378 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,423720,Corporation,White,Male Owned,Unanswered,,1,5/19/20,Sky FCU,MT - 00
"j <$10,000"," $5,210 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,999990,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,4/28/20,First Interstate Bank,MT - 00
"j <$10,000"," $5,100 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,238320,Sole Proprietorship,White,Female Owned,Non-Veteran,,4,4/27/20,Opportunity Bank of Montana,MT - 00
"j <$10,000"," $5,089 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,236115,Corporation,Unanswered,Unanswered,Unanswered,,,6/24/20,Celtic Bank Corporation,MT - 00
"j <$10,000"," $5,050 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,114210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/15/20,First Interstate Bank,MT - 00
"j <$10,000"," $5,000 ", undisclosed , undisclosed ,LIVINGSTON,MT,59047,448310,Sole Proprietorship,Unanswered,Female Owned,Unanswered,,1,4/27/20,Montana Community Development Corp.,MT - 00
